app_id,app_name,app_size,app_runtime,app_task_count,max_in_ready_queue,max_in_todo_queue,ref_arrival_time,app_diff_arrival_time,app_lifetime,app_api_min,app_api_max,app_api_mean,cpu1_todo_queue,cpu2_todo_queue,cpu3_todo_queue,cpu4_todo_queue,cpu5_todo_queue,cpu6_todo_queue,cpu7_todo_queue,gpu1_todo_queue,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,gpu1,API_INSTRUCTIONS,API_CACHE_REFERENCES,API_CACHE_MISSES,API_BRANCH_MISSES,API_DTLB_READ_MISS,API_ITLB_READ_MISS,API_L1D_READ_ACCESS,API_L1D_READ_MISS,API_L1I_READ_MISS,APP_INSTRUCTIONS,APP_CACHE_REFERENCES,APP_CACHE_MISSES,APP_BRANCH_MISSES,APP_DTLB_READ_MISS,APP_ITLB_READ_MISS,APP_L1D_READ_ACCESS,APP_L1D_READ_MISS,APP_L1I_READ_MISS
5,wifi-tx-nb-jetson,62248,14601088,100,10,3,17111516325190848,0,22044928,7072,225472,20502,1,1,1,1,2,2,3,0,0.197008,0.061730,0.063903,0.077141,0.080846,0.090732,0.108968,0.191188,243807,249381,9103,20965,6525,1145,377101,3878,12228,5805508,3055477,30598,33250,3985,1909,2184792,9235,0
12,temporal_mitigation-jetson,68720,3786496,4,1,1,17111516351810624,26619776,20239680,6848,21920,13400,0,0,0,0,0,0,1,0,0.197008,0.061730,0.063903,0.077141,0.080846,0.090732,0.108968,0.191188,24303,8070,375,265,218,31,3246,6,65,1634269,543194,4833,3662,1274,521,28202,0,0
14,radar_correlator-jetson,12912,9489728,3,1,1,17111516357585472,5774848,27552416,51264,81472,61344,0,0,0,0,0,0,1,0,0.197008,0.061730,0.063903,0.077141,0.080846,0.090732,0.108968,0.191188,134116,60,0,622,248,58,58133,831,2494,672,850451,5374,9729,11676,679,918711,2175,0
19,temporal_mitigation-noapi-jetson,68848,1075904,0,0,0,17111516410885600,53300128,17510752,0,0,0,0,0,0,0,0,0,0,0,0.197008,0.061730,0.063903,0.077141,0.080846,0.090732,0.108968,0.191188,0,0,0,0,0,0,0,0,0,189226,544345,2695,4171,1056,752,485955,0,0
28,radar_correlator-noapi-jetson,13040,15569504,0,0,0,17111516441247968,30362368,40809824,0,0,0,0,0,0,0,0,0,0,0,0.197008,0.061730,0.063903,0.077141,0.080846,0.090732,0.108968,0.191188,0,0,0,0,0,0,0,0,0,2474638,935080,6259,11442,11555,733,123805,0,0
15,radar_correlator-jetson,12912,15847552,3,1,1,17111516460893504,19645536,24724928,26304,228448,100810,0,0,0,0,1,0,1,0,0.197008,0.061730,0.063903,0.077141,0.080846,0.090732,0.108968,0.191188,134053,45355,799,1427,302,34,12277,0,0,2483,921064,4526,8943,12159,566,920400,0,0
6,wifi-tx-nb-jetson,62248,55790016,100,10,4,17111516434539584,-26353920,81402592,5856,570880,18573,1,1,1,1,2,3,4,0,0.197008,0.061730,0.063903,0.077141,0.080846,0.090732,0.108968,0.191188,1259851,287195,8651,12939,5639,618,219043,6396,35552,3234144,3825716,30284,29183,3454,878,2873035,0,0
13,temporal_mitigation-jetson,68720,4165376,4,1,1,17111516459483520,24943936,58484448,6592,13152,10280,0,0,0,0,1,1,1,0,0.197008,0.061730,0.063903,0.077141,0.080846,0.090732,0.108968,0.191188,28687,5818,240,143,208,32,2573,124,627,1171694,534409,3231,3641,984,306,173046,0,0
8,pulse_doppler-nb-jetson,17456,166751008,512,19,9,17111516398504704,-60978816,181291552,5504,965504,15068,7,3,3,3,9,8,8,0,0.197008,0.061730,0.063903,0.077141,0.080846,0.090732,0.108968,0.191188,5415965,1209103,35967,46198,30190,2427,1221544,37942,199737,14822426,7427344,196421,65133,138823,6570,5730932,113637,241760
20,temporal_mitigation-noapi-jetson,68848,21041632,0,0,0,17111516557218592,158713888,62608960,0,0,0,0,0,0,0,0,0,0,0,0.197008,0.061730,0.063903,0.077141,0.080846,0.090732,0.108968,0.191188,0,0,0,0,0,0,0,0,0,1697889,527736,1975,2134,844,226,0,0,0
29,radar_correlator-noapi-jetson,13040,26686368,0,0,0,17111516591217152,33998560,40142848,0,0,0,0,0,0,0,0,0,0,0,0.197008,0.061730,0.063903,0.077141,0.080846,0.090732,0.108968,0.191188,0,0,0,0,0,0,0,0,0,2791593,912624,4695,9891,12115,399,0,0,0
16,radar_correlator-jetson,12912,53327712,3,1,1,17111516564194048,-27023104,79185600,30304,47680,36138,0,0,0,0,0,0,1,0,0.197008,0.061730,0.063903,0.077141,0.080846,0.090732,0.108968,0.191188,672,45,493,745,321,23,37873,493,0,2316805,873757,5706,9416,11141,841,135818,0,0
17,radar_correlator-jetson,12912,26107296,3,1,1,17111516667507584,103313536,89117440,30624,80800,47733,0,0,0,0,1,0,1,0,0.197008,0.061730,0.063903,0.077141,0.080846,0.090732,0.108968,0.191188,65288,31937,811,1148,306,38,25611,228,0,2051307,874310,3697,8511,11787,522,236596,0,0
30,radar_correlator-noapi-jetson,13040,5942528,0,0,0,17111516741191264,73683680,21234560,0,0,0,0,0,0,0,0,0,0,0,0.197008,0.061730,0.063903,0.077141,0.080846,0.090732,0.108968,0.191188,0,0,0,0,0,0,0,0,0,2792902,908068,3728,9600,11699,529,0,0,0
23,SAR-noapi-jetson,21944,334292384,0,0,0,17111516420823616,-320367648,352371520,0,0,0,0,0,0,0,0,0,0,0,0.197008,0.061730,0.063903,0.077141,0.080846,0.090732,0.108968,0.191188,0,0,0,0,0,0,0,0,0,272889564,74343604,614014,174710,220728,6245,68930875,554998,263542
18,radar_correlator-jetson,12912,35733472,3,1,1,17111516770812864,349989248,53181696,23392,28544,25610,0,0,0,0,0,0,1,0,0.197008,0.061730,0.063903,0.077141,0.080846,0.090732,0.108968,0.191188,198732,42743,872,895,308,20,0,0,734,2392576,875299,4613,8821,11997,346,112228,0,0
31,radar_correlator-noapi-jetson,13040,30491904,0,0,0,17111516891165056,120352192,56998688,0,0,0,0,0,0,0,0,0,0,0,0.197008,0.061730,0.063903,0.077141,0.080846,0.090732,0.108968,0.191188,0,0,0,0,0,0,0,0,0,2791508,909400,5283,9084,12101,375,0,0,0
7,wifi-tx-nb-jetson,62248,582562400,100,10,3,17111516543876352,-347288704,600102400,5600,859456,50540,1,1,1,2,2,2,3,0,0.197008,0.061730,0.063903,0.077141,0.080846,0.090732,0.108968,0.191188,802866,264818,10338,12212,6727,308,251265,6157,28495,6022096,3279176,29609,31527,3368,1076,2265106,7659,0
32,radar_correlator-noapi-jetson,13040,53551008,0,0,0,17111517041133952,497257600,150049632,0,0,0,0,0,0,0,0,0,0,0,0.197008,0.061730,0.063903,0.077141,0.080846,0.090732,0.108968,0.191188,0,0,0,0,0,0,0,0,0,2791546,907136,7240,10055,11781,472,0,0,0
10,pulse_doppler-nb-jetson,17456,517115488,512,21,10,17111516737951872,-303182080,539946304,5312,583424,42664,10,3,3,3,4,5,5,0,0.197008,0.061730,0.063903,0.077141,0.080846,0.090732,0.108968,0.191188,4981670,1143155,43678,49407,37831,1732,1077178,35775,178745,14652877,6584843,207923,59334,139546,4558,7057610,105041,399376
24,SAR-noapi-jetson,21944,698019392,0,0,0,17111516563284192,-174667680,733250432,0,0,0,0,0,0,0,0,0,0,0,0.197008,0.061730,0.063903,0.077141,0.080846,0.090732,0.108968,0.191188,0,0,0,0,0,0,0,0,0,255422202,71325150,324642,159163,337562,4178,67136605,685112,229463
26,SAR-noapi-jetson,21944,559161024,0,0,0,17111516848194368,284910176,580424224,0,0,0,0,0,0,0,0,0,0,0,0.197008,0.061730,0.063903,0.077141,0.080846,0.090732,0.108968,0.191188,0,0,0,0,0,0,0,0,0,259036806,65309753,472326,157120,103908,1813,72924810,571507,193676
25,SAR-noapi-jetson,21944,935472064,0,0,0,17111516705757888,-142436480,966568992,0,0,0,0,0,0,0,0,0,0,0,0.197008,0.061730,0.063903,0.077141,0.080846,0.090732,0.108968,0.191188,0,0,0,0,0,0,0,0,0,227602298,67620401,616344,251238,228998,3571,72822826,584731,470565
27,SAR-noapi-jetson,21944,846016288,0,0,0,17111516990653888,284896000,856643744,0,0,0,0,0,0,0,0,0,0,0,0.197008,0.061730,0.063903,0.077141,0.080846,0.090732,0.108968,0.191188,0,0,0,0,0,0,0,0,0,285011614,74818041,591017,164413,199707,4966,71648345,598446,642003
9,pulse_doppler-nb-jetson,17456,1701235872,512,66,16,17111516568238080,-422415808,1713117568,5440,3212128,17672,16,9,9,9,9,9,9,1,0.197008,0.061730,0.063903,0.077141,0.080846,0.090732,0.108968,0.191188,5679797,1256012,48801,45861,33668,1870,1144270,46260,205534,13316289,4888998,197907,62897,266804,6112,6349450,154670,215648
11,pulse_doppler-nb-jetson,17456,1353566016,512,46,12,17111516907672736,339434656,1377973920,5184,2333312,54296,11,6,6,6,7,10,12,1,0.197008,0.061730,0.063903,0.077141,0.080846,0.090732,0.108968,0.191188,5961336,1251788,49444,42968,33874,1699,1160776,49771,228363,21059315,6655746,205733,69348,253729,6786,3147830,147036,218331
22,SAR_nb-jetson,17984,3136554848,2305,511,85,17111516618370176,-289302560,3144628704,1216,5379424,20780,71,71,71,72,71,79,85,12,0.197008,0.061730,0.063903,0.077141,0.080846,0.090732,0.108968,0.191188,51973845,12106844,329850,223832,214561,5442,10175733,230471,865421,235392632,63342848,227586,115358,305197,3186,56633079,435425,273463
21,SAR_nb-jetson,17984,3406953216,2305,252,150,17111516442257440,-176112736,3444227168,1280,8157760,24885,50,50,58,73,83,129,150,6,0.197008,0.061730,0.063903,0.077141,0.080846,0.090732,0.108968,0.191188,44522471,9917943,264303,211860,194858,6396,11539730,271490,857321,226492052,64932659,476916,161242,296089,6149,43622432,433321,743967
1,track_nb-jetson,277448,10097348832,24580,1015,255,17111516504647264,62389824,10112638880,32864,19811008,65369,142,137,137,137,140,158,255,27,0.197008,0.061730,0.063903,0.077141,0.080846,0.090732,0.108968,0.191188,2467695893,482666580,6409635,5593421,2124036,44057,443962187,6080193,12002262,3615299979,535535423,37918327,3847869,7467324,27328,505855352,35693092,2498148
0,track_nb-jetson,277448,10284201440,24580,547,242,17111516359369824,-145277440,10299346240,33024,1663032608,128953,125,127,160,154,148,219,242,20,0.197008,0.061730,0.063903,0.077141,0.080846,0.090732,0.108968,0.191188,2993051859,690094591,8569944,7600074,3581070,116804,671383064,8448737,14786182,3471243012,526550973,35693705,3727242,7555740,21514,533664743,33278439,2744181
3,track_nb-jetson,277448,9886252160,24580,318,247,17111516795175520,435805696,9933060640,33216,18755808,55510,124,97,93,134,140,215,247,26,0.197008,0.061730,0.063903,0.077141,0.080846,0.090732,0.108968,0.191188,2359140270,466742136,5879237,5701370,1992608,39980,456028002,6628339,10772533,3504212054,514007768,35134548,3729596,4809169,25634,539263022,35140361,3885351
