app_id,app_name,app_size,app_runtime,app_task_count,max_in_ready_queue,max_in_todo_queue,ref_arrival_time,app_diff_arrival_time,app_lifetime,app_api_min,app_api_max,app_api_mean,cpu1_todo_queue,cpu2_todo_queue,cpu3_todo_queue,cpu4_todo_queue,cpu5_todo_queue,cpu6_todo_queue,cpu7_todo_queue,gpu1_todo_queue,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,gpu1,API_INSTRUCTIONS,API_CACHE_REFERENCES,API_CACHE_MISSES,API_BRANCH_MISSES,API_DTLB_READ_MISS,API_ITLB_READ_MISS,API_L1D_READ_ACCESS,API_L1D_READ_MISS,API_L1I_READ_MISS,APP_INSTRUCTIONS,APP_CACHE_REFERENCES,APP_CACHE_MISSES,APP_BRANCH_MISSES,APP_DTLB_READ_MISS,APP_ITLB_READ_MISS,APP_L1D_READ_ACCESS,APP_L1D_READ_MISS,APP_L1I_READ_MISS
12,temporal_mitigation-jetson,68720,13375488,4,1,1,17111260607425920,0,15670752,10272,23712,16296,0,0,1,0,1,1,1,0,0.055645,0.050215,0.048411,0.049114,0.046837,0.047136,0.049554,0.403147,11973,2303,151,231,196,34,5789,255,704,1703592,543091,4755,3714,1349,744,0,0,0
19,temporal_mitigation-noapi-jetson,68848,840096,0,0,0,17111260660805024,53379104,37424768,0,0,0,0,0,0,0,0,0,0,0,0.055645,0.050215,0.048411,0.049114,0.046837,0.047136,0.049554,0.403147,0,0,0,0,0,0,0,0,0,1713907,538541,2166,2280,1053,283,0,0,0
28,radar_correlator-noapi-jetson,13040,15165280,0,0,0,17111260686350208,25545184,44154816,0,0,0,0,0,0,0,0,0,0,0,0.055645,0.050215,0.048411,0.049114,0.046837,0.047136,0.049554,0.403147,0,0,0,0,0,0,0,0,0,258571,842694,7958,10223,11477,702,884828,3611,0
13,temporal_mitigation-jetson,68720,3732160,4,1,1,17111260715102624,28752416,30797344,9280,20384,15600,1,0,1,0,1,1,0,0,0.055645,0.050215,0.048411,0.049114,0.046837,0.047136,0.049554,0.403147,28624,8057,428,296,131,18,2251,148,1390,1678364,524951,2925,3168,940,392,0,0,0
20,temporal_mitigation-noapi-jetson,68848,9567872,0,0,0,17111260807141536,92038912,43214272,0,0,0,0,0,0,0,0,0,0,0,0.055645,0.050215,0.048411,0.049114,0.046837,0.047136,0.049554,0.403147,0,0,0,0,0,0,0,0,0,1697898,524423,2169,2285,812,292,0,0,0
16,radar_correlator-jetson,12912,26196192,3,1,1,17111260816526400,9384864,47221088,610688,1561120,1071914,1,0,1,0,0,0,0,0,0.055645,0.050215,0.048411,0.049114,0.046837,0.047136,0.049554,0.403147,198736,32775,743,972,127,25,19601,1139,3730,2606432,874860,6038,9850,12216,721,0,0,0
29,radar_correlator-noapi-jetson,13040,52881216,0,0,0,17111260836320384,19793984,74215424,0,0,0,0,0,0,0,0,0,0,0,0.055645,0.050215,0.048411,0.049114,0.046837,0.047136,0.049554,0.403147,0,0,0,0,0,0,0,0,0,2621418,912452,5240,9848,12159,601,53191,0,0
30,radar_correlator-noapi-jetson,13040,23814496,0,0,0,17111260986313792,149993408,51502272,0,0,0,0,0,0,0,0,0,0,0,0.055645,0.050215,0.048411,0.049114,0.046837,0.047136,0.049554,0.403147,0,0,0,0,0,0,0,0,0,2630547,902290,4827,9944,12171,436,48752,0,0
17,radar_correlator-jetson,12912,151368128,3,1,1,17111260919838400,-66475392,206174048,27872,141632,70858,1,0,0,0,0,0,1,0,0.055645,0.050215,0.048411,0.049114,0.046837,0.047136,0.049554,0.403147,65352,54,307,592,272,32,39524,649,1311,2605402,872097,5184,9948,12257,520,0,0,0
31,radar_correlator-noapi-jetson,13040,25461856,0,0,0,17111261136268064,216429664,38889216,0,0,0,0,0,0,0,0,0,0,0,0.055645,0.050215,0.048411,0.049114,0.046837,0.047136,0.049554,0.403147,0,0,0,0,0,0,0,0,0,2791533,909719,5201,9988,12121,475,0,0,0
18,radar_correlator-jetson,12912,351969504,3,1,1,17111261024603008,-111665056,354258784,37792,135680,72682,1,1,1,0,0,0,0,0,0.055645,0.050215,0.048411,0.049114,0.046837,0.047136,0.049554,0.403147,198742,42775,1068,782,64,0,13890,1056,2789,944,861933,7143,9237,12045,485,911747,1726,0
32,radar_correlator-noapi-jetson,13040,100055520,0,0,0,17111261286269536,261666528,112968128,0,0,0,0,0,0,0,0,0,0,0,0.055645,0.050215,0.048411,0.049114,0.046837,0.047136,0.049554,0.403147,0,0,0,0,0,0,0,0,0,2450303,895081,5261,9660,12087,403,100747,0,0
26,SAR-noapi-jetson,21944,711640672,0,0,0,17111261099152960,-187116576,759211936,0,0,0,0,0,0,0,0,0,0,0,0.055645,0.050215,0.048411,0.049114,0.046837,0.047136,0.049554,0.403147,0,0,0,0,0,0,0,0,0,260931091,69150204,575653,164453,257494,3902,69740423,659542,106176
23,SAR-noapi-jetson,21944,1335925984,0,0,0,17111260672237056,-426915904,1368638528,0,0,0,0,0,0,0,0,0,0,0,0.055645,0.050215,0.048411,0.049114,0.046837,0.047136,0.049554,0.403147,0,0,0,0,0,0,0,0,0,259311628,69384827,626005,194695,218673,7307,70966295,663784,612180
24,SAR-noapi-jetson,21944,1372122144,0,0,0,17111260813873440,141636384,1384297504,0,0,0,0,0,0,0,0,0,0,0,0.055645,0.050215,0.048411,0.049114,0.046837,0.047136,0.049554,0.403147,0,0,0,0,0,0,0,0,0,263960142,76956292,624534,204604,306214,4681,56967453,512165,808178
27,SAR-noapi-jetson,21944,1078897120,0,0,0,17111261242092192,428218752,1135105920,0,0,0,0,0,0,0,0,0,0,0,0.055645,0.050215,0.048411,0.049114,0.046837,0.047136,0.049554,0.403147,0,0,0,0,0,0,0,0,0,245477466,70583457,515196,191241,217186,2720,65974660,567990,532091
25,SAR-noapi-jetson,21944,1418272928,0,0,0,17111260956346272,-285745920,1424799584,0,0,0,0,0,0,0,0,0,0,0,0.055645,0.050215,0.048411,0.049114,0.046837,0.047136,0.049554,0.403147,0,0,0,0,0,0,0,0,0,264771713,68256527,575983,187219,207093,7030,76480437,605526,610043
15,radar_correlator-jetson,12912,1842124448,3,1,1,17111260713217536,-243128736,1873660640,28704,531776,207328,0,1,0,0,0,0,0,1,0.055645,0.050215,0.048411,0.049114,0.046837,0.047136,0.049554,0.403147,216656,14975,308,323,1915,595,41911,3272,13061,84636,919843,5354,9186,12419,528,893532,0,0
14,radar_correlator-jetson,12912,2557811648,3,1,1,17111260609919968,-103297568,2564283808,69440,1249152,629504,0,0,0,1,0,0,0,1,0.055645,0.050215,0.048411,0.049114,0.046837,0.047136,0.049554,0.403147,83386,51,441,1945,4280,738,76010,6927,22577,3806,924044,6207,9378,10824,929,922919,0,0
22,SAR_nb-jetson,17984,4743433536,2305,210,64,17111260862148832,252228864,4807815808,1376,5595712,51860,64,62,62,62,60,47,40,64,0.055645,0.050215,0.048411,0.049114,0.046837,0.047136,0.049554,0.403147,65334910,14629108,662060,446151,783896,54505,15483027,864423,2947965,232626851,59767123,251365,117781,270780,5314,59091704,494662,283220
