app_id,app_name,app_size,app_runtime,app_task_count,max_in_ready_queue,max_in_todo_queue,ref_arrival_time,app_diff_arrival_time,app_lifetime,app_api_min,app_api_max,app_api_mean,cpu1_todo_queue,cpu2_todo_queue,cpu3_todo_queue,fft1_todo_queue,fft2_todo_queue,gemm1_todo_queue,gemm2_todo_queue,zip1_todo_queue,cpu1,cpu2,cpu3,fft1,fft2,gemm1,gemm2,zip1,API_INSTRUCTIONS,API_CACHE_REFERENCES,API_CACHE_MISSES,API_BRANCH_MISSES,API_DTLB_READ_MISS,API_ITLB_READ_MISS,API_L1D_READ_ACCESS,API_L1D_READ_MISS,API_L1I_READ_MISS,APP_INSTRUCTIONS,APP_CACHE_REFERENCES,APP_CACHE_MISSES,APP_BRANCH_MISSES,APP_DTLB_READ_MISS,APP_ITLB_READ_MISS,APP_L1D_READ_ACCESS,APP_L1D_READ_MISS,APP_L1I_READ_MISS
0,temporal_mitigation-noapi-aarch64,68888,48084804,0,0,0,550003601331586,0,61977132,0,0,0,0,0,0,0,0,0,0,0,0.037645,0.000330,0.000211,0.104141,0.101900,0.000362,0.000024,0.000000,0,0,0,0,0,0,0,0,0,12249,911371,3552,9817,292,185,906737,0,0
12,radar_correlator-noapi-aarch64,13080,26891027,0,0,0,550003657683036,56351450,43217838,0,0,0,0,0,0,0,0,0,0,0,0.037645,0.000330,0.000211,0.104141,0.101900,0.000362,0.000024,0.000000,0,0,0,0,0,0,0,0,0,819715,417547,3256,5179,217,116,113041,0,0
14,temporal_mitigation-aarch64,68760,82919725,4,1,1,550003704623166,46940130,106467568,22833,1341204,669509,0,0,0,0,0,1,0,0,0.037645,0.000330,0.000211,0.104141,0.101900,0.000362,0.000024,0.000000,259574,14887,770,839,94,45,0,0,0,6813,909335,4667,10378,392,264,906801,0,0
1,temporal_mitigation-noapi-aarch64,68888,51483534,0,0,0,550003739074899,34451733,76094703,0,0,0,0,0,0,0,0,0,0,0,0.037645,0.000330,0.000211,0.104141,0.101900,0.000362,0.000024,0.000000,0,0,0,0,0,0,0,0,0,2556977,904412,2219,8887,163,121,0,0,0
13,radar_correlator-noapi-aarch64,13080,12802459,0,0,0,550003796327199,57252300,52723788,0,0,0,0,0,0,0,0,0,0,0,0.037645,0.000330,0.000211,0.104141,0.101900,0.000362,0.000024,0.000000,0,0,0,0,0,0,0,0,0,268153,433043,1913,4696,113,120,337452,0,0
19,radar_correlator-aarch64,12952,14905059,3,1,1,550003796327199,0,55154981,42814,53106,49001,0,0,0,1,1,0,0,0,0.037645,0.000330,0.000211,0.104141,0.101900,0.000362,0.000024,0.000000,11216,4210,127,165,21,3,1912,68,278,1028910,379711,2825,4390,266,169,0,0,0
15,temporal_mitigation-aarch64,68760,26914389,4,1,1,550003807923838,11596639,79828456,8121,1987468,974312,0,0,0,0,0,1,0,0,0.037645,0.000330,0.000211,0.104141,0.101900,0.000362,0.000024,0.000000,133878,78,12,415,48,28,14243,587,819,1048852,901923,3048,10245,176,177,517658,0,0
2,temporal_mitigation-noapi-aarch64,68888,28770854,0,0,0,550003877540174,69616336,86379530,0,0,0,0,0,0,0,0,0,0,0,0.037645,0.000330,0.000211,0.104141,0.101900,0.000362,0.000024,0.000000,0,0,0,0,0,0,0,0,0,2556962,904405,2800,9222,162,171,0,0,0
16,temporal_mitigation-aarch64,68760,38831660,4,1,1,550003911227980,33687806,103882759,183738,2873137,1419421,0,0,0,0,0,1,0,0,0.037645,0.000330,0.000211,0.104141,0.101900,0.000362,0.000024,0.000000,258406,14262,602,776,11,0,0,300,860,2536147,902237,3340,9759,198,203,0,0,0
20,radar_correlator-aarch64,12952,47886725,3,1,1,550003923602856,12374876,101112293,42244,48685,44544,0,0,0,1,1,0,0,0,0.037645,0.000330,0.000211,0.104141,0.101900,0.000362,0.000024,0.000000,3734,51,110,190,19,6,4198,180,95,103773,346105,2115,3747,149,114,308157,0,0
17,temporal_mitigation-aarch64,68760,66573602,4,1,1,550004014540202,90937346,122406001,8551,1326252,669289,0,0,0,0,0,1,1,0,0.037645,0.000330,0.000211,0.104141,0.101900,0.000362,0.000024,0.000000,186101,12540,574,793,51,31,1972,75,0,2539988,902794,3181,10325,155,211,0,0,0
3,temporal_mitigation-noapi-aarch64,68888,88106583,0,0,0,550004022774255,8234053,173527818,0,0,0,0,0,0,0,0,0,0,0,0.037645,0.000330,0.000211,0.104141,0.101900,0.000362,0.000024,0.000000,0,0,0,0,0,0,0,0,0,738215,904397,2443,9608,183,245,633830,0,0
18,temporal_mitigation-aarch64,68760,88840496,4,1,1,550004137104829,114330574,161292335,13471,6438393,1961671,0,0,0,0,0,1,1,0,0.037645,0.000330,0.000211,0.104141,0.101900,0.000362,0.000024,0.000000,22043,6817,153,671,63,42,14187,647,869,2536334,902252,3108,10014,224,275,0,0,0
4,temporal_mitigation-noapi-aarch64,68888,52023078,0,0,0,550004168042310,30937481,144287807,0,0,0,0,0,0,0,0,0,0,0,0.037645,0.000330,0.000211,0.104141,0.101900,0.000362,0.000024,0.000000,0,0,0,0,0,0,0,0,0,599046,904445,2724,9271,201,203,684842,0,0
5,pulse_doppler-nb-aarch64,17496,883219929,512,66,64,550003606925745,-561116565,897580693,11401,8842214,143436,0,0,0,64,64,0,0,0,0.037645,0.000330,0.000211,0.104141,0.101900,0.000362,0.000024,0.000000,543787,214578,17974,28980,762,955,241167,20409,29689,15014150,6656529,66388,83523,2565,3282,6568682,100438,49396
21,wifi-tx-nb-aarch64,62288,980410799,100,10,5,550003870639484,263713739,1029606135,12601,806611,32901,0,0,0,5,5,0,0,0,0.037645,0.000330,0.000211,0.104141,0.101900,0.000362,0.000024,0.000000,141318,39729,3402,4735,161,166,65017,3764,4460,54614881,18359444,25019,458680,1438,1093,20710277,20902,95760
6,pulse_doppler-nb-aarch64,17496,1169940088,512,115,64,550003739074899,-131564585,1194198901,11421,5116641,97657,0,0,0,64,64,0,0,0,0.037645,0.000330,0.000211,0.104141,0.101900,0.000362,0.000024,0.000000,753915,217414,13309,23718,879,942,238224,23233,33716,5102069,4204073,29805,105646,3682,3689,9844655,103375,66075
7,pulse_doppler-nb-aarch64,17496,1215865365,512,2,64,550003825643018,86568119,1267001065,11411,4873827,65624,0,0,0,64,59,0,0,0,0.037645,0.000330,0.000211,0.104141,0.101900,0.000362,0.000024,0.000000,680546,228960,15870,30353,990,806,186966,19277,30381,13172300,8035869,34054,64090,1666,3889,10093059,109614,78904
22,wifi-tx-nb-aarch64,62288,1035144809,100,10,5,550004041113097,215470079,1083050406,12612,1078297,42313,0,0,0,5,5,0,0,0,0.037645,0.000330,0.000211,0.104141,0.101900,0.000362,0.000024,0.000000,152733,47679,2700,4929,176,188,54841,4267,5635,63097672,24385187,22558,457611,1012,872,18218389,16259,102749
24,SAR-noapi-aarch64,21984,4536204075,0,0,0,550004023967594,-17145503,4616617910,0,0,0,0,0,0,0,0,0,0,0,0.037645,0.000330,0.000211,0.104141,0.101900,0.000362,0.000024,0.000000,0,0,0,0,0,0,0,0,0,390480731,138420742,280850,1390424,22002,2648,145391943,272134,798414
25,SAR-noapi-aarch64,21984,5037786201,0,0,0,550004166429219,142461625,5112449931,0,0,0,0,0,0,0,0,0,0,0,0.037645,0.000330,0.000211,0.104141,0.101900,0.000362,0.000024,0.000000,0,0,0,0,0,0,0,0,0,399693346,144177826,295179,1331089,15512,2580,149040456,279065,753309
26,SAR-noapi-aarch64,21984,5092374166,0,0,0,550004308883822,142454603,5164752098,0,0,0,0,0,0,0,0,0,0,0,0.037645,0.000330,0.000211,0.104141,0.101900,0.000362,0.000024,0.000000,0,0,0,0,0,0,0,0,0,384308674,141679651,269411,1457569,20160,2314,138709517,231570,752117
27,SAR-noapi-aarch64,21984,4951936624,0,0,0,550004451337096,142453274,5065281289,0,0,0,0,0,0,0,0,0,0,0,0.037645,0.000330,0.000211,0.104141,0.101900,0.000362,0.000024,0.000000,0,0,0,0,0,0,0,0,0,389000091,140518836,207356,1382210,21875,3884,148439473,309977,762103
23,SAR-noapi-aarch64,21984,5709618129,0,0,0,550003881510810,-569826286,5767133506,0,0,0,0,0,0,0,0,0,0,0,0.037645,0.000330,0.000211,0.104141,0.101900,0.000362,0.000024,0.000000,0,0,0,0,0,0,0,0,0,404559058,150262419,190108,1529486,18568,2628,136427795,306368,722694
9,SAR_nb-aarch64,18024,5970363302,2305,511,256,550003854333995,-27176815,6020944516,8371,743964,24643,167,168,165,256,256,0,0,0,0.037645,0.000330,0.000211,0.104141,0.101900,0.000362,0.000024,0.000000,7864790,3787759,87930,86918,6421,1020,2921345,80613,94476,306718672,116692466,239081,1180105,17601,2687,133971024,279286,1071336
