app_id,app_name,app_size,app_runtime,app_task_count,max_in_ready_queue,max_in_todo_queue,ref_arrival_time,app_diff_arrival_time,app_lifetime,app_api_min,app_api_max,app_api_mean,cpu1_todo_queue,cpu2_todo_queue,cpu3_todo_queue,fft1_todo_queue,fft2_todo_queue,gemm1_todo_queue,gemm2_todo_queue,zip1_todo_queue,cpu1,cpu2,cpu3,fft1,fft2,gemm1,gemm2,zip1,API_INSTRUCTIONS,API_CACHE_REFERENCES,API_CACHE_MISSES,API_BRANCH_MISSES,API_DTLB_READ_MISS,API_ITLB_READ_MISS,API_L1D_READ_ACCESS,API_L1D_READ_MISS,API_L1I_READ_MISS,APP_INSTRUCTIONS,APP_CACHE_REFERENCES,APP_CACHE_MISSES,APP_BRANCH_MISSES,APP_DTLB_READ_MISS,APP_ITLB_READ_MISS,APP_L1D_READ_ACCESS,APP_L1D_READ_MISS,APP_L1I_READ_MISS
0,temporal_mitigation-noapi-aarch64,68888,50376104,0,0,0,549572331678668,0,79109885,0,0,0,0,0,0,0,0,0,0,0,0.113425,0.110092,0.114948,0.057487,0.058151,0.000147,0.000120,0.104390,0,0,0,0,0,0,0,0,0,776036,911411,3652,9346,222,159,626590,0,0
12,radar_correlator-noapi-aarch64,13080,20594538,0,0,0,549572411284962,79606294,55293705,0,0,0,0,0,0,0,0,0,0,0,0.113425,0.110092,0.114948,0.057487,0.058151,0.000147,0.000120,0.104390,0,0,0,0,0,0,0,0,0,1095236,415570,2623,4967,171,99,0,0,0
1,temporal_mitigation-noapi-aarch64,68888,43834240,0,0,0,549572476919760,65634798,76704895,0,0,0,0,0,0,0,0,0,0,0,0.113425,0.110092,0.114948,0.057487,0.058151,0.000147,0.000120,0.104390,0,0,0,0,0,0,0,0,0,2557041,904501,2310,8728,123,102,0,0,0
14,temporal_mitigation-aarch64,68760,74920256,4,1,1,549572457634203,-19285557,97705493,11611,1438753,433310,0,0,1,0,0,1,1,0,0.113425,0.110092,0.114948,0.057487,0.058151,0.000147,0.000120,0.104390,155406,14341,743,647,64,25,2286,50,44,6166,465402,4787,10058,394,248,907139,3305,0
13,radar_correlator-noapi-aarch64,13080,6573997,0,0,0,549572545782021,88147818,41792086,0,0,0,0,0,0,0,0,0,0,0,0.113425,0.110092,0.114948,0.057487,0.058151,0.000147,0.000120,0.104390,0,0,0,0,0,0,0,0,0,294305,432651,2003,5175,131,138,331848,0,0
19,radar_correlator-aarch64,12952,12190708,3,1,1,549572545782021,0,53494875,59386,88899,78861,0,1,1,1,0,0,0,0,0.113425,0.110092,0.114948,0.057487,0.058151,0.000147,0.000120,0.104390,5300,57,1,965,48,34,41837,461,499,1032160,380200,3038,4485,276,222,0,0,0
5,pulse_doppler-nb-aarch64,17496,244004660,512,64,25,549572329292790,-216489231,272435191,11711,6241864,128064,25,22,21,25,20,0,0,0,0.113425,0.110092,0.114948,0.057487,0.058151,0.000147,0.000120,0.104390,2490174,858794,30307,62854,1042,867,1126749,23060,23118,13187415,5229651,71358,69265,1637,1728,7441876,101022,102203
15,temporal_mitigation-aarch64,68760,29165894,4,1,1,549572556584870,227292080,87672530,7781,1305750,334893,0,1,1,0,0,1,0,0,0.113425,0.110092,0.114948,0.057487,0.058151,0.000147,0.000120,0.104390,131449,9733,272,469,15,4,5532,37,405,1078065,589704,3274,9987,150,165,506905,759,0
2,temporal_mitigation-noapi-aarch64,68888,55410746,0,0,0,549572622215938,65631068,102685730,0,0,0,0,0,0,0,0,0,0,0,0.113425,0.110092,0.114948,0.057487,0.058151,0.000147,0.000120,0.104390,0,0,0,0,0,0,0,0,0,209183,775402,2569,9805,174,166,827805,464,0
16,temporal_mitigation-aarch64,68760,20114990,4,1,1,549572659857009,37641071,65164831,11021,33223,17527,0,1,1,0,0,1,1,0,0.113425,0.110092,0.114948,0.057487,0.058151,0.000147,0.000120,0.104390,32650,2348,133,251,30,21,10197,293,313,191392,902715,3220,9953,193,244,832592,0,0
20,radar_correlator-aarch64,12952,19030251,3,1,1,549572677861088,18004079,75543348,51135,374768,169913,1,0,0,0,1,0,0,0,0.113425,0.110092,0.114948,0.057487,0.058151,0.000147,0.000120,0.104390,133967,42113,78,119,7,11,40954,375,500,1022978,376021,1975,4006,148,134,0,0,0
6,pulse_doppler-nb-aarch64,17496,360294200,512,58,25,549572438637785,-239223303,396103628,11671,25840482,264210,24,20,20,25,21,0,0,0,0.113425,0.110092,0.114948,0.057487,0.058151,0.000147,0.000120,0.104390,3488503,984881,19728,48851,757,822,1273495,29568,35791,14635106,6623678,88889,63370,906,1391,8220604,94841,102306
3,temporal_mitigation-noapi-aarch64,68888,55433768,0,0,0,549572767457960,328820175,107480149,0,0,0,0,0,0,0,0,0,0,0,0.113425,0.110092,0.114948,0.057487,0.058151,0.000147,0.000120,0.104390,0,0,0,0,0,0,0,0,0,1891111,904388,2481,9499,177,128,218116,0,0
17,temporal_mitigation-aarch64,68760,66128738,4,1,1,549572763162081,-4295879,121118412,4751,1339744,667341,0,1,1,0,0,1,0,0,0.113425,0.110092,0.114948,0.057487,0.058151,0.000147,0.000120,0.104390,209754,9545,410,518,32,22,4209,40,53,4501,524549,3082,9221,205,214,900133,2003,0
7,pulse_doppler-nb-aarch64,17496,384610439,512,36,25,549572547981271,-215180810,450192742,11801,6267806,90275,23,19,18,25,19,0,0,0,0.113425,0.110092,0.114948,0.057487,0.058151,0.000147,0.000120,0.104390,3968003,1214089,23632,44885,840,731,1071293,30775,41921,17702975,7908189,104785,88182,2145,2099,5160752,85125,27366
4,temporal_mitigation-noapi-aarch64,68888,40659323,0,0,0,549572912812274,364831003,99306542,0,0,0,0,0,0,0,0,0,0,0,0.113425,0.110092,0.114948,0.057487,0.058151,0.000147,0.000120,0.104390,0,0,0,0,0,0,0,0,0,1544148,904491,2624,9665,171,173,335519,0,0
18,temporal_mitigation-aarch64,68760,85596562,4,1,1,549572866500816,-46311458,152024220,15542,5231422,1733165,1,1,0,0,0,1,1,0,0.113425,0.110092,0.114948,0.057487,0.058151,0.000147,0.000120,0.104390,118120,9027,525,464,23,15,5759,230,385,2536335,902246,3155,10053,173,192,0,0,0
21,wifi-tx-nb-aarch64,62288,901510776,100,10,3,549572608158133,-258342683,951764958,12642,1101250,38335,3,2,2,2,2,0,0,0,0.113425,0.110092,0.114948,0.057487,0.058151,0.000147,0.000120,0.104390,793223,226769,4140,8840,304,209,236773,5474,6894,54062551,19229290,21381,403245,1283,951,23685575,18559,112469
22,wifi-tx-nb-aarch64,62288,895658262,100,10,2,549572778766110,170607977,981388868,12622,1192519,38557,2,2,2,2,2,0,0,0,0.113425,0.110092,0.114948,0.057487,0.058151,0.000147,0.000120,0.104390,693806,205404,5165,12218,361,347,216771,4865,6422,38183517,14032360,16391,428747,874,917,27123470,19037,105260
9,SAR_nb-aarch64,18024,3575816275,2305,511,127,549572599012950,-179753160,3605740285,8281,358556,34196,127,125,124,103,102,0,0,126,0.113425,0.110092,0.114948,0.057487,0.058151,0.000147,0.000120,0.104390,39852631,10215086,95388,226646,5042,2066,10987955,150800,152021,354071380,128131527,283841,1171843,18148,4002,129590124,206044,1077958
26,SAR-noapi-aarch64,21984,4842839093,0,0,0,549573043261448,444248498,4897175272,0,0,0,0,0,0,0,0,0,0,0,0.113425,0.110092,0.114948,0.057487,0.058151,0.000147,0.000120,0.104390,0,0,0,0,0,0,0,0,0,389961421,143071354,307098,1448401,19563,3801,142830354,230062,803644
27,SAR-noapi-aarch64,21984,5091966385,0,0,0,549573185717632,142456184,5189060706,0,0,0,0,0,0,0,0,0,0,0,0.113425,0.110092,0.114948,0.057487,0.058151,0.000147,0.000120,0.104390,0,0,0,0,0,0,0,0,0,379750161,140845454,265787,1483450,26941,3179,144639755,219415,758455
24,SAR-noapi-aarch64,21984,5783457356,0,0,0,549572758392924,-427324708,5815915030,0,0,0,0,0,0,0,0,0,0,0,0.113425,0.110092,0.114948,0.057487,0.058151,0.000147,0.000120,0.104390,0,0,0,0,0,0,0,0,0,379070176,140186665,220498,1431127,19223,2136,146875281,277616,773642
23,SAR-noapi-aarch64,21984,6186840301,0,0,0,549572615894866,-142498058,6238093283,0,0,0,0,0,0,0,0,0,0,0,0.113425,0.110092,0.114948,0.057487,0.058151,0.000147,0.000120,0.104390,0,0,0,0,0,0,0,0,0,392508655,144528884,303412,1442490,23053,2336,138709472,242364,760385
25,SAR-noapi-aarch64,21984,5909204471,0,0,0,549572900855849,284960983,5960414758,0,0,0,0,0,0,0,0,0,0,0,0.113425,0.110092,0.114948,0.057487,0.058151,0.000147,0.000120,0.104390,0,0,0,0,0,0,0,0,0,385622368,143672816,276892,1478110,12769,1930,147522211,272914,716286
10,SAR_nb-aarch64,18024,6048744543,2305,497,128,549572768941538,-131914311,6116711635,8411,4730993,41141,128,125,118,102,97,0,0,119,0.113425,0.110092,0.114948,0.057487,0.058151,0.000147,0.000120,0.104390,30629328,10539113,153279,269075,7185,2339,8686789,113417,126462,323155696,121800405,146309,1335833,15851,3878,129947009,325855,996506
8,SAR_nb-aarch64,18024,6628363747,2305,494,128,549572437579630,-331361908,6663213319,8220,11868706,67555,128,115,118,102,103,0,0,116,0.113425,0.110092,0.114948,0.057487,0.058151,0.000147,0.000120,0.104390,30300575,11314675,132665,217676,7522,2937,11334535,138665,111797,349153628,123904480,209654,1222691,17834,2702,131204597,253447,1028796
11,SAR_nb-aarch64,18024,6106413115,2305,509,128,549572938461476,500881846,6180477946,8491,5364646,60621,128,128,128,102,103,0,0,126,0.113425,0.110092,0.114948,0.057487,0.058151,0.000147,0.000120,0.104390,29096855,8192150,139237,263260,8584,2646,10869972,138891,127635,360411254,134299956,264105,1232045,9848,3440,123055750,289247,997340
29,track_nb-aarch64,277488,41711100657,24580,1024,208,549572845710869,-92750607,41759172280,75267,400319829,218922,206,205,205,208,205,0,0,1,0.113425,0.110092,0.114948,0.057487,0.058151,0.000147,0.000120,0.104390,1301504008,464606551,2966777,6364710,155385,30542,473695116,2946325,1781524,3498362420,1565322202,23732244,6423235,15352607,28322,1569497792,23565793,1742338
30,track_nb-aarch64,277488,43427540928,24580,1018,210,549572995712807,150001938,43513350442,75217,309013176,189715,205,210,205,205,208,0,0,1,0.113425,0.110092,0.114948,0.057487,0.058151,0.000147,0.000120,0.104390,1441091705,485152768,2995590,6417711,155528,29475,456194443,2912825,1774075,3568897618,1597659997,24176625,6556259,14976482,19360,1599360843,24442734,1914942
