app_id,app_name,app_size,app_runtime,app_task_count,max_in_ready_queue,max_in_todo_queue,ref_arrival_time,app_diff_arrival_time,app_lifetime,app_api_min,app_api_max,app_api_mean,cpu1_todo_queue,cpu2_todo_queue,cpu3_todo_queue,cpu4_todo_queue,cpu5_todo_queue,cpu6_todo_queue,cpu7_todo_queue,gpu1_todo_queue,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,gpu1,API_INSTRUCTIONS,API_CACHE_REFERENCES,API_CACHE_MISSES,API_BRANCH_MISSES,API_DTLB_READ_MISS,API_ITLB_READ_MISS,API_L1D_READ_ACCESS,API_L1D_READ_MISS,API_L1I_READ_MISS,APP_INSTRUCTIONS,APP_CACHE_REFERENCES,APP_CACHE_MISSES,APP_BRANCH_MISSES,APP_DTLB_READ_MISS,APP_ITLB_READ_MISS,APP_L1D_READ_ACCESS,APP_L1D_READ_MISS,APP_L1I_READ_MISS
5,wifi-tx-nb-jetson,62248,13588544,100,6,1,17111395644668800,0,23453856,11872,1159168,82750,1,1,1,1,1,1,1,0,0.207734,0.063898,0.062345,0.061377,0.059869,0.061488,0.064416,0.000000,161579,221724,10371,22832,6284,1809,413011,5560,7775,12785632,3770320,29994,27935,3779,2219,0,0,0
12,temporal_mitigation-jetson,68720,3130912,4,1,1,17111395682553120,37884320,25695200,11680,20864,16704,0,0,1,1,1,1,0,0,0.207734,0.063898,0.062345,0.061377,0.059869,0.061488,0.064416,0.000000,39668,388,49,63,170,16,7722,337,1483,1699330,541277,4227,3158,1263,558,0,0,0
14,radar_correlator-jetson,12912,14605632,3,1,1,17111395688501920,5948800,38168160,89184,109024,98560,1,1,0,0,0,0,1,0,0.207734,0.063898,0.062345,0.061377,0.059869,0.061488,0.064416,0.000000,199637,59987,1137,1129,176,41,19591,446,1170,4200285,2690380,6410,30451,12909,778,1392262,0,0
19,temporal_mitigation-noapi-jetson,68848,4932832,0,0,0,17111395746204032,57702112,25960736,0,0,0,0,0,0,0,0,0,0,0,0.207734,0.063898,0.062345,0.061377,0.059869,0.061488,0.064416,0.000000,0,0,0,0,0,0,0,0,0,1713907,543101,2808,2362,1034,377,0,0,0
6,wifi-tx-nb-jetson,62248,36978656,100,10,1,17111395754006496,7802464,58950496,6592,1230624,68619,1,1,1,1,1,1,1,0,0.207734,0.063898,0.062345,0.061377,0.059869,0.061488,0.064416,0.000000,1032235,267583,10072,15643,5668,514,217832,7757,36902,9576813,3675787,29475,31028,2934,1549,1020173,2873,0
28,radar_correlator-noapi-jetson,13040,9934464,0,0,0,17111395777789248,23782752,40643936,0,0,0,0,0,0,0,0,0,0,0,0.207734,0.063898,0.062345,0.061377,0.059869,0.061488,0.064416,0.000000,0,0,0,0,0,0,0,0,0,6855,948806,6866,10495,11186,860,946633,0,0
13,temporal_mitigation-jetson,68720,13102784,4,1,1,17111395790230464,12441216,44359552,9056,27264,14768,0,1,0,1,0,0,1,0,0.207734,0.063898,0.062345,0.061377,0.059869,0.061488,0.064416,0.000000,39668,8053,357,60,53,0,5790,357,1398,1674091,531263,3847,3005,1036,402,0,0,0
15,radar_correlator-jetson,12912,14061664,3,1,1,17111395791823200,1592736,42969632,27488,1414208,490485,0,1,0,0,0,0,1,0,0.207734,0.063898,0.062345,0.061377,0.059869,0.061488,0.064416,0.000000,198733,45582,586,876,219,14,12808,294,1824,2631564,878540,5477,9068,10940,799,0,0,0
20,temporal_mitigation-noapi-jetson,68848,16370688,0,0,0,17111395892538944,100715744,46152256,0,0,0,0,0,0,0,0,0,0,0,0.207734,0.063898,0.062345,0.061377,0.059869,0.061488,0.064416,0.000000,0,0,0,0,0,0,0,0,0,631142,538705,2220,3845,841,342,344113,0,0
16,radar_correlator-jetson,12912,42844672,3,1,1,17111395895128192,2589248,71484032,48896,329056,163584,0,0,1,1,1,0,0,0,0.207734,0.063898,0.062345,0.061377,0.059869,0.061488,0.064416,0.000000,704,48,613,1574,312,37,51548,932,1089,2605065,873406,6371,9139,12289,807,0,0,0
29,radar_correlator-noapi-jetson,13040,8647616,0,0,0,17111395927904960,32776768,43772096,0,0,0,0,0,0,0,0,0,0,0,0.207734,0.063898,0.062345,0.061377,0.059869,0.061488,0.064416,0.000000,0,0,0,0,0,0,0,0,0,39900,975547,4005,10329,12618,581,962864,0,0
