app_id,app_name,app_size,app_runtime,app_task_count,max_in_ready_queue,max_in_todo_queue,ref_arrival_time,app_diff_arrival_time,app_lifetime,app_api_min,app_api_max,app_api_mean,cpu1_todo_queue,cpu2_todo_queue,cpu3_todo_queue,cpu4_todo_queue,cpu5_todo_queue,cpu6_todo_queue,cpu7_todo_queue,cpu8_todo_queue,cpu9_todo_queue,cpu10_todo_queue,cpu11_todo_queue,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,cpu9,cpu10,cpu11,API_INSTRUCTIONS,API_CACHE_REFERENCES,API_CACHE_MISSES,API_BRANCH_MISSES,API_DTLB_READ_MISS,API_ITLB_READ_MISS,API_L1D_READ_ACCESS,API_L1D_READ_MISS,API_L1I_READ_MISS,APP_INSTRUCTIONS,APP_CACHE_REFERENCES,APP_CACHE_MISSES,APP_BRANCH_MISSES,APP_DTLB_READ_MISS,APP_ITLB_READ_MISS,APP_L1D_READ_ACCESS,APP_L1D_READ_MISS,APP_L1I_READ_MISS
14,wifi-tx-nb-x86,67888,43421395,100,10,2,209628229038276,0,52568084,3165,70971,6540,1,1,1,1,1,1,1,1,1,2,2,0.046417,0.054259,0.048018,0.055911,0.072454,0.072130,0.086400,0.108796,0.128119,0.134328,0.233634,871436,34586,3044,7495,388,112,136332,4401,5093,12253080,74792,11091,25059,163,0,0,0,0
28,temporal_mitigation-noapi-x86,61688,1869438,0,0,0,209628280654458,51616182,10083492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046417,0.054259,0.048018,0.055911,0.072454,0.072130,0.086400,0.108796,0.128119,0.134328,0.233634,0,0,0,0,0,0,0,0,0,1756543,10075,2703,2505,100,0,0,0,0
23,radar_correlator-noapi-x86,20208,25013703,0,0,0,209628271644009,-9010449,33881041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046417,0.054259,0.048018,0.055911,0.072454,0.072130,0.086400,0.108796,0.128119,0.134328,0.233634,0,0,0,0,0,0,0,0,0,1098913,15774,4510,3112,131,0,0,0,0
26,radar_correlator-x86,20136,10879715,3,1,1,209628295135994,23491985,26048162,19809,26411,22330,0,0,0,0,0,0,0,0,0,0,1,0.046417,0.054259,0.048018,0.055911,0.072454,0.072130,0.086400,0.108796,0.128119,0.134328,0.233634,240267,2721,335,674,3,0,0,0,0,864604,15105,3221,2523,34,0,0,0,0
19,temporal_mitigation-x86,57392,21079780,4,1,1,209628292455247,-2680747,29321332,8341,308697,106123,0,0,0,0,0,0,0,0,0,0,1,0.046417,0.054259,0.048018,0.055911,0.072454,0.072130,0.086400,0.108796,0.128119,0.134328,0.233634,47915,1152,185,155,3,0,0,0,0,1722271,17046,4299,5013,153,0,0,0,0
5,SAR-noapi-x86,20640,208019739,0,0,0,209628134062389,-158392858,212290149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046417,0.054259,0.048018,0.055911,0.072454,0.072130,0.086400,0.108796,0.128119,0.134328,0.233634,0,0,0,0,0,0,0,0,0,220521304,929632,175578,249171,1385,135,47173499,426668,144150
9,pulse_doppler-nb-x86,20528,153400898,512,9,13,209628186337954,52275565,161803239,2566,949359,26603,6,3,4,4,4,10,6,13,7,6,13,0.046417,0.054259,0.048018,0.055911,0.072454,0.072130,0.086400,0.108796,0.128119,0.134328,0.233634,4199005,97273,5148,16934,518,201,714354,25588,29379,9585706,150539,4352,43572,531,685,4078356,119394,29595
6,SAR-noapi-x86,20640,119398420,0,0,0,209628276012265,89674311,132156841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046417,0.054259,0.048018,0.055911,0.072454,0.072130,0.086400,0.108796,0.128119,0.134328,0.233634,0,0,0,0,0,0,0,0,0,262484647,1150812,361214,304129,840,181,27626190,28536,108538
29,temporal_mitigation-noapi-x86,61688,583647,0,0,0,209628428261997,152249732,5857979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046417,0.054259,0.048018,0.055911,0.072454,0.072130,0.086400,0.108796,0.128119,0.134328,0.233634,0,0,0,0,0,0,0,0,0,1746355,9690,2892,4991,30,0,0,0,0
24,radar_correlator-noapi-x86,20208,612434,0,0,0,209628442443946,14181949,7228028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046417,0.054259,0.048018,0.055911,0.072454,0.072130,0.086400,0.108796,0.128119,0.134328,0.233634,0,0,0,0,0,0,0,0,0,1084893,12215,4308,4538,74,0,0,0,0
30,temporal_mitigation-noapi-x86,61688,17986212,0,0,0,209628585508370,143064424,18469344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046417,0.054259,0.048018,0.055911,0.072454,0.072130,0.086400,0.108796,0.128119,0.134328,0.233634,0,0,0,0,0,0,0,0,0,1738570,12647,2988,7000,62,0,0,0,0
25,radar_correlator-noapi-x86,20208,1164731,0,0,0,209628623857731,38349361,12826500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046417,0.054259,0.048018,0.055911,0.072454,0.072130,0.086400,0.108796,0.128119,0.134328,0.233634,0,0,0,0,0,0,0,0,0,1082961,13709,2210,3414,69,0,0,0,0
7,SAR-noapi-x86,20640,210677929,0,0,0,209628417960751,-205896980,218902285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046417,0.054259,0.048018,0.055911,0.072454,0.072130,0.086400,0.108796,0.128119,0.134328,0.233634,0,0,0,0,0,0,0,0,0,184584082,1009726,183973,133850,2092,458,35533622,330401,113158
27,radar_correlator-x86,20136,159572477,3,1,1,209628484638684,66677933,161342163,57258,656218,275530,0,0,0,0,0,0,0,1,0,0,1,0.046417,0.054259,0.048018,0.055911,0.072454,0.072130,0.086400,0.108796,0.128119,0.134328,0.233634,79330,1011,379,431,6,0,32551,333,399,887373,17828,4861,3656,106,0,0,0,0
20,temporal_mitigation-x86,57392,163439324,4,1,1,209628489342670,4703986,164815943,45545,172774,105299,0,0,1,0,1,0,0,0,0,0,1,0.046417,0.054259,0.048018,0.055911,0.072454,0.072130,0.086400,0.108796,0.128119,0.134328,0.233634,14192,486,245,98,6,12,5664,333,253,1711841,18768,4436,5898,122,0,0,0,0
17,SAR_nb-x86,24968,417294283,2305,512,74,209628245128087,-244214583,435780189,578,12852867,47653,46,46,47,47,47,47,47,46,53,74,62,0.046417,0.054259,0.048018,0.055911,0.072454,0.072130,0.086400,0.108796,0.128119,0.134328,0.233634,47244531,768385,209123,72710,2287,829,8375586,197067,249301,190336747,1068849,272752,174815,356,169,39678146,56745,270653
8,SAR-noapi-x86,20640,124783040,0,0,0,209628559910396,314782309,133887071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046417,0.054259,0.048018,0.055911,0.072454,0.072130,0.086400,0.108796,0.128119,0.134328,0.233634,0,0,0,0,0,0,0,0,0,198552352,1079836,353320,191170,1112,44,41072819,388151,77732
31,temporal_mitigation-noapi-x86,61688,944460,0,0,0,209628729530710,169620314,6825219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046417,0.054259,0.048018,0.055911,0.072454,0.072130,0.086400,0.108796,0.128119,0.134328,0.233634,0,0,0,0,0,0,0,0,0,730879,15421,6473,4651,164,0,0,0,0
15,wifi-tx-nb-x86,67888,423001038,100,10,4,209628402079507,-327451203,432112616,2169,366447,14336,1,1,1,1,1,1,1,2,2,4,4,0.046417,0.054259,0.048018,0.055911,0.072454,0.072130,0.086400,0.108796,0.128119,0.134328,0.233634,1034312,25011,4213,4258,101,51,182127,5894,13674,1274513,91432,30388,38464,306,0,0,0,0
21,temporal_mitigation-x86,57392,168240301,4,1,1,209628686234090,284154583,177269234,5229,11000,8134,1,0,0,0,0,0,0,0,1,0,1,0.046417,0.054259,0.048018,0.055911,0.072454,0.072130,0.086400,0.108796,0.128119,0.134328,0.233634,22878,1176,85,96,6,0,2749,213,173,1586530,17630,5369,6361,199,0,0,0,0
32,temporal_mitigation-noapi-x86,61688,598063,0,0,0,209628880155635,193921545,8906912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046417,0.054259,0.048018,0.055911,0.072454,0.072130,0.086400,0.108796,0.128119,0.134328,0.233634,0,0,0,0,0,0,0,0,0,1744520,9203,3872,5227,48,0,0,0,0
18,SAR_nb-x86,24968,796189489,2305,165,238,209628434168636,-445986999,796750439,682,4584560,10137,18,29,23,24,23,27,30,56,65,104,238,0.046417,0.054259,0.048018,0.055911,0.072454,0.072130,0.086400,0.108796,0.128119,0.134328,0.233634,47975956,584305,190348,64915,1802,423,9835923,281075,237910,208242060,777994,268942,408106,2526,768,16257442,88733,235948
22,temporal_mitigation-x86,57392,405957353,4,1,1,209628883125089,448956453,414484706,6863,10589,8463,0,0,0,0,0,0,0,0,1,0,1,0.046417,0.054259,0.048018,0.055911,0.072454,0.072130,0.086400,0.108796,0.128119,0.134328,0.233634,15988,550,398,128,4,2,5074,148,306,259717,16329,5267,5273,141,0,0,0,0
