app_id,app_name,app_size,app_runtime,app_task_count,max_in_ready_queue,max_in_todo_queue,ref_arrival_time,app_diff_arrival_time,app_lifetime,app_api_min,app_api_max,app_api_mean,cpu1_todo_queue,cpu2_todo_queue,cpu3_todo_queue,cpu4_todo_queue,cpu5_todo_queue,cpu6_todo_queue,cpu7_todo_queue,cpu8_todo_queue,cpu9_todo_queue,cpu10_todo_queue,cpu11_todo_queue,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,cpu9,cpu10,cpu11,API_INSTRUCTIONS,API_CACHE_REFERENCES,API_CACHE_MISSES,API_BRANCH_MISSES,API_DTLB_READ_MISS,API_ITLB_READ_MISS,API_L1D_READ_ACCESS,API_L1D_READ_MISS,API_L1I_READ_MISS,APP_INSTRUCTIONS,APP_CACHE_REFERENCES,APP_CACHE_MISSES,APP_BRANCH_MISSES,APP_DTLB_READ_MISS,APP_ITLB_READ_MISS,APP_L1D_READ_ACCESS,APP_L1D_READ_MISS,APP_L1I_READ_MISS
14,wifi-tx-nb-x86,67888,15498927,100,9,1,209574528375019,0,23777379,2516,310575,12924,1,1,1,1,1,1,1,1,1,1,1,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,188799,15725,587,5570,232,132,166465,2148,1492,12245105,83373,3329,22556,114,0,0,0,0
23,radar_correlator-noapi-x86,20208,4160591,0,0,0,209574558914780,30539761,18044908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,0,0,0,0,0,0,0,0,0,1152031,12686,4313,3756,69,0,0,0,0
28,temporal_mitigation-noapi-x86,61688,728472,0,0,0,209574566191865,7277085,16754064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,0,0,0,0,0,0,0,0,0,1756550,11091,2389,5180,94,0,0,0,0
19,temporal_mitigation-x86,57392,1656156,4,1,1,209574574645108,8453243,9994943,4460,7986,6456,0,0,1,0,1,1,0,0,0,0,1,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,21282,413,8,67,3,4,5639,342,240,1722150,16275,1451,5637,86,0,0,0,0
26,radar_correlator-x86,20136,1375980,3,1,1,209574588153059,13507951,9633938,19611,21645,20660,0,0,0,0,1,0,1,0,0,1,0,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,240461,1038,56,271,0,21,31532,653,1130,864963,17717,1971,2427,101,0,0,0,0
9,pulse_doppler-nb-x86,20528,177054433,512,31,11,209574501447697,-86705362,179417951,1747,1638119,16555,3,3,3,5,3,4,5,4,5,11,4,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,5050873,167062,7178,23874,1450,591,796137,34125,50422,1377463,310137,10116,79078,793,435,1992658,0,0
5,SAR-noapi-x86,20640,209616146,0,0,0,209574471238138,-30209559,217919931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,0,0,0,0,0,0,0,0,0,200570107,514797,380853,563475,2601,329,40319824,75309,176574
29,temporal_mitigation-noapi-x86,61688,1816277,0,0,0,209574719106445,247868307,14371993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,0,0,0,0,0,0,0,0,0,1582174,7023,2059,4823,31,0,0,0,0
24,radar_correlator-noapi-x86,20208,2315219,0,0,0,209574733536454,14430009,15604925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,0,0,0,0,0,0,0,0,0,1197914,10122,2739,3738,41,0,0,0,0
6,SAR-noapi-x86,20640,192025167,0,0,0,209574613188515,-120347939,203196726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,0,0,0,0,0,0,0,0,0,190656923,538956,415476,188562,2593,891,30502564,49670,93799
30,temporal_mitigation-noapi-x86,61688,3795798,0,0,0,209574867455663,254267148,9680538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,0,0,0,0,0,0,0,0,0,1744070,11476,4001,4738,106,0,0,0,0
7,SAR-noapi-x86,20640,132322787,0,0,0,209574755137033,-112318630,140858443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,0,0,0,0,0,0,0,0,0,150628958,574362,388894,454318,1934,257,41787378,30305,134656
27,radar_correlator-x86,20136,143497991,3,1,1,209574777655679,22518646,151988176,16764,20279,18063,0,0,0,0,0,0,1,1,0,0,0,0.130047,0.140373,0.127629,0.150364,0.120813,0.133578,0.118746,0.138814,0.112599,0.125787,0.140329,79078,811,666,396,6,4,0,0,278,856224,20449,4448,2986,168,0,0,0,0
