app_id,app_name,app_size,app_runtime,app_task_count,max_in_ready_queue,max_in_todo_queue,ref_arrival_time,app_diff_arrival_time,app_lifetime,app_api_min,app_api_max,app_api_mean,cpu1_todo_queue,cpu2_todo_queue,cpu3_todo_queue,fft1_todo_queue,fft2_todo_queue,gemm1_todo_queue,gemm2_todo_queue,zip1_todo_queue,cpu1,cpu2,cpu3,fft1,fft2,gemm1,gemm2,zip1,API_INSTRUCTIONS,API_CACHE_REFERENCES,API_CACHE_MISSES,API_BRANCH_MISSES,API_DTLB_READ_MISS,API_ITLB_READ_MISS,API_L1D_READ_ACCESS,API_L1D_READ_MISS,API_L1I_READ_MISS,APP_INSTRUCTIONS,APP_CACHE_REFERENCES,APP_CACHE_MISSES,APP_BRANCH_MISSES,APP_DTLB_READ_MISS,APP_ITLB_READ_MISS,APP_L1D_READ_ACCESS,APP_L1D_READ_MISS,APP_L1I_READ_MISS
0,temporal_mitigation-noapi-aarch64,68888,64624107,0,0,0,550522206481441,0,83538847,0,0,0,0,0,0,0,0,0,0,0,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,0,0,0,0,0,0,0,0,0,1706108,911399,3823,9391,298,194,283678,0,0
12,radar_correlator-noapi-aarch64,13080,27218029,0,0,0,550522262692698,56211257,64906435,0,0,0,0,0,0,0,0,0,0,0,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,0,0,0,0,0,0,0,0,0,1099533,417570,3379,5080,309,146,0,0,0
1,temporal_mitigation-noapi-aarch64,68888,46163673,0,0,0,550522346508733,83816035,72843128,0,0,0,0,0,0,0,0,0,0,0,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,0,0,0,0,0,0,0,0,0,5169,904470,2433,8939,193,147,902680,0,0
14,temporal_mitigation-aarch64,68760,92317444,4,1,1,550522309810916,-36697817,135421131,194759,4900370,1799542,0,0,0,0,0,0,1,0,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,94498,5832,958,1000,97,34,11926,437,0,1280823,909485,4914,10444,514,281,439453,0,0
13,radar_correlator-noapi-aarch64,13080,11024922,0,0,0,550522393300698,83489782,72001394,0,0,0,0,0,0,0,0,0,0,0,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,0,0,0,0,0,0,0,0,0,1202376,432488,2218,4530,147,124,0,0,0
19,radar_correlator-aarch64,12952,14198098,3,1,1,550522393300698,0,75487452,46925,229463,109844,0,0,0,0,1,0,0,0,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,10879,45,233,266,25,8,9,232,0,6171,286791,3263,4032,306,183,378019,1788,0
15,temporal_mitigation-aarch64,68760,29169324,4,1,1,550522413073874,19773176,76712554,8341,5063946,2216256,0,0,0,0,0,0,1,0,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,258294,84,5,51,49,9,14232,598,853,1193585,847936,3055,9485,174,141,464006,361,0
5,pulse_doppler-nb-aarch64,17496,331354058,512,119,37,550522206481441,-206592433,349829874,11451,5741994,61290,17,16,16,37,35,0,0,0,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,1419620,425176,18431,32468,1399,508,233588,15736,19572,15811380,7209612,75253,63566,1477,2394,7049746,92022,127529
2,temporal_mitigation-noapi-aarch64,68888,39987326,0,0,0,550522491659716,285178275,91266009,0,0,0,0,0,0,0,0,0,0,0,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,0,0,0,0,0,0,0,0,0,994065,904435,2674,9900,198,207,539963,0,0
20,radar_correlator-aarch64,12952,20351074,3,1,1,550522529407527,37747811,79279512,44725,47985,46641,0,0,0,0,1,0,0,0,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,612,4211,166,219,15,0,4196,0,238,907857,356402,2191,3529,193,152,0,0,0
16,temporal_mitigation-aarch64,68760,66489774,4,1,1,550522516379226,-13028301,137295138,100880,6773977,3322612,0,0,0,0,0,0,1,0,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,1088,72,6,835,66,22,14246,698,967,1608559,902320,3238,10158,262,238,303628,0,0
17,temporal_mitigation-aarch64,68760,74074041,4,1,1,550522619690078,103310852,84744167,240304,12593138,5053327,0,0,0,0,0,0,1,0,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,238324,81,3,171,66,31,14248,673,1028,2534787,902337,3391,9660,258,205,0,0,0
3,temporal_mitigation-noapi-aarch64,68888,30935591,0,0,0,550522636990127,17300049,68437388,0,0,0,0,0,0,0,0,0,0,0,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,0,0,0,0,0,0,0,0,0,2561866,905666,2777,9845,194,172,0,0,0
6,pulse_doppler-nb-aarch64,17496,538587394,512,19,36,550522305919207,-331070920,566716995,11451,10044144,89993,18,16,18,36,35,0,0,0,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,1192311,325739,23675,36619,1467,562,346623,14298,21609,11975418,5839445,94980,92817,2897,2991,6457254,67647,74481
4,temporal_mitigation-noapi-aarch64,68888,62698214,0,0,0,550522782225218,476306011,105850526,0,0,0,0,0,0,0,0,0,0,0,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,0,0,0,0,0,0,0,0,0,2050861,904360,2407,9260,168,144,165929,0,0
18,temporal_mitigation-aarch64,68760,141595148,4,1,1,550522722994700,-59230518,190156140,172438,2141934,985078,0,0,0,0,0,0,1,0,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,258438,14273,637,858,61,36,0,0,0,2534375,902120,3771,10138,306,281,0,0,0
7,pulse_doppler-nb-aarch64,17496,600859986,512,107,30,550522412702366,-310292334,648422869,11481,530993,19339,15,16,16,30,30,0,0,0,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,1282629,318321,19499,33394,1480,550,401922,17273,23884,10668939,5796835,97613,73461,1863,1327,7993522,64207,102562
21,wifi-tx-nb-aarch64,62288,891647091,100,10,6,550522460332025,47629659,935122015,12602,3886448,86831,1,1,2,3,6,0,0,0,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,384627,135523,5115,10111,457,220,137848,3990,4854,53752399,16134537,19688,383331,1575,1406,24759360,24763,99145
22,wifi-tx-nb-aarch64,62288,886798456,100,10,5,550522630957014,170624989,943366588,12521,2523852,41916,1,2,2,3,5,0,0,0,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,432564,122597,4093,9653,444,264,119576,3956,5151,53266727,18975580,22849,426546,1188,1169,23102246,23018,101491
26,SAR-noapi-aarch64,21984,4978825210,0,0,0,550522896831009,265873995,5035361679,0,0,0,0,0,0,0,0,0,0,0,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,0,0,0,0,0,0,0,0,0,393282938,136286840,193390,1393120,20494,4118,146859870,290031,781263
11,SAR_nb-aarch64,18024,5380855360,2305,510,164,550522798086233,-98744776,5427062457,8251,1083288,31586,152,159,155,163,164,0,0,33,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,23956385,9297093,122342,199602,8362,1112,7593958,109700,106810,345351808,126460331,298070,1210082,18534,3640,128450577,221973,1066688
24,SAR-noapi-aarch64,21984,5664307742,0,0,0,550522611963036,-186123197,5736916407,0,0,0,0,0,0,0,0,0,0,0,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,0,0,0,0,0,0,0,0,0,386044532,144278154,214862,1371884,22535,4720,149282264,277189,719572
27,SAR-noapi-aarch64,21984,5287971779,0,0,0,550523039285423,427322387,5362121338,0,0,0,0,0,0,0,0,0,0,0,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,0,0,0,0,0,0,0,0,0,405839394,146903546,261378,1445247,25159,2832,140903915,275101,787513
23,SAR-noapi-aarch64,21984,5916757206,0,0,0,550522469566328,-569719095,5967759482,0,0,0,0,0,0,0,0,0,0,0,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,0,0,0,0,0,0,0,0,0,388661192,140539851,279472,1469599,24642,2946,138064171,234224,787961
25,SAR-noapi-aarch64,21984,5647880600,0,0,0,550522754389827,284823499,5724110647,0,0,0,0,0,0,0,0,0,0,0,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,0,0,0,0,0,0,0,0,0,392197583,146059148,297611,1483447,25871,4050,137200608,199391,726765
9,SAR_nb-aarch64,18024,5974410587,2305,499,206,550522458654038,-295735789,6019962508,8311,14040353,57644,158,158,159,188,206,0,0,28,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,22006297,7606074,129799,191112,8701,1306,6113264,114581,114943,319244837,124627359,213981,1388922,12848,4453,131070241,322646,1015265
8,SAR_nb-aarch64,18024,6404597119,2305,510,208,550522289771404,-168882634,6438999846,8351,1675288,35255,158,159,159,186,208,0,0,33,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,25652326,7731230,127647,188926,8762,1273,8420640,114249,99994,341566055,122562057,197337,1214659,12384,3579,135807318,345665,1088512
10,SAR_nb-aarch64,18024,7816789332,2305,505,179,550522628365765,338594361,7872541102,8351,15937423,59059,149,151,152,167,179,0,0,26,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,22666961,7853964,106272,158671,7965,1439,9481890,135865,117000,349276198,135049692,269412,1222632,9996,3610,128746371,299137,1024407
29,track_nb-aarch64,277488,48243850241,24580,1018,521,550522693229956,64864191,48280471350,75167,223736995,149892,142,149,149,493,521,0,0,0,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,741969703,245976406,2187475,3704287,158161,16959,239007382,2104230,1519240,3568188832,1602126888,24348847,6562391,15155112,13560,1599298803,24168972,2048657
30,track_nb-aarch64,277488,48312582318,24580,1021,514,550522843201961,149972005,48394059809,75098,127244964,140572,149,149,150,505,514,0,0,0,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,692718929,206144379,2021146,3326644,154040,14653,216481719,1927571,1534978,3547785601,1578807520,24049581,6615566,15129474,13793,1613840582,23953109,2048487
28,track_nb-aarch64,277488,49246340986,24580,1019,555,550522543443260,-299758701,49292879936,75067,148617859,144148,149,149,150,493,555,0,0,0,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,739062545,226220011,2097802,3523059,160294,16677,254772730,2042622,1542526,3560139283,1597022031,24203204,6508937,15227291,18922,1612780618,24106078,1823292
31,track_nb-aarch64,277488,49850193042,24580,1019,552,550522993295168,449851908,49933733839,75107,144835032,147742,141,141,156,505,552,0,0,0,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,675929520,244444754,2118922,3405593,156620,16239,230345011,2067191,1483394,3499999297,1565458320,24060136,6377361,15186620,23192,1565489586,23836738,2229162
32,track_nb-aarch64,277488,50674916665,24580,1019,532,550523143154181,149859013,50756138151,75057,160260803,140582,149,150,150,510,532,0,0,0,0.035175,0.037953,0.094241,0.089459,0.097046,0.000000,0.001035,0.000144,658654100,211837757,2124086,3287589,158796,15121,221039043,2013152,1509634,3567622798,1614342527,23904847,6568365,15217281,13837,1592370866,24202876,2147698
4,radar_correlator-aarch64,12952,40786255,3,1,1,550576241500759,0,59154351,49395,105551,69247,0,0,0,0,1,0,0,0,0.040106,0.047655,0.099858,0.065175,0.069458,0.000000,0.000358,0.000146,18536,7721,663,507,110,38,0,0,0,264390,350921,2726,4141,209,136,254693,0,0
